id,titulo,duracao,genero,sinopse,nota_imdb
1,Interstellar,169,Ficção Científica,Exploradores viajam por um buraco de minhoca em busca da sobrevivência da humanidade.,8.7
2,Parasita,132,Drama,Uma família pobre se infiltra na vida de uma família rica.,8.5
3,Whiplash,106,Drama,Um jovem baterista enfrenta um professor extremamente exigente.,8.5
4,Cidade de Deus,130,Crime,A ascensão do crime organizado em uma favela do Rio de Janeiro.,8.6
5,O Poderoso Chefão,175,Crime,A história da poderosa família mafiosa Corleone.,9.2
6,O Poderoso Chefão Parte II,202,Crime,A continuação da saga da família Corleone.,9.0
7,Batman: O Cavaleiro das Trevas,152,Ação,Batman enfrenta o caos provocado pelo Coringa.,9.0
8,Clube da Luta,139,Drama,Um homem cria um clube secreto de lutas.,8.8
9,Pulp Fiction,154,Crime,Histórias interligadas do submundo do crime.,8.9
10,Forrest Gump,142,Drama,A vida extraordinária de um homem simples.,8.8
11,Um Sonho de Liberdade,142,Drama,Um banqueiro condenado busca esperança na prisão.,9.3
12,A Origem,148,Ficção Científica,Ladrões invadem sonhos para roubar segredos.,8.8
13,Matrix,136,Ficção Científica,Um hacker descobre a verdadeira natureza da realidade.,8.7
14,Gladiador,155,Ação,Um general romano busca vingança.,8.5
15,O Senhor dos Anéis: A Sociedade do Anel,178,Fantasia,A jornada para destruir um anel poderoso.,8.9
16,O Senhor dos Anéis: As Duas Torres,179,Fantasia,A Terra Média enfrenta uma grande guerra.,8.8
17,O Senhor dos Anéis: O Retorno do Rei,201,Fantasia,A batalha final pelo destino da Terra Média.,9.0
18,Star Wars: O Império Contra-Ataca,124,Ficção Científica,A Aliança Rebelde enfrenta o Império.,8.7
19,Star Wars,121,Ficção Científica,Luke Skywalker inicia sua jornada heroica.,8.6
20,Alien: O Oitavo Passageiro,117,Terror,Uma criatura mortal invade uma nave espacial.,8.5
21,Blade Runner 2049,164,Ficção Científica,Um caçador de replicantes desvenda um mistério.,8.0
22,Coringa,122,Drama,A origem sombria de um dos maiores vilões da DC.,8.4
23,Duna,155,Ficção Científica,Um jovem herdeiro enfrenta conflitos interplanetários.,8.0
24,Django Livre,165,Faroeste,Um ex-escravo busca resgatar sua esposa.,8.5
25,Bastardos Inglórios,153,Guerra,Soldados aliados caçam líderes nazistas.,8.4
26,O Resgate do Soldado Ryan,169,Guerra,Uma missão arriscada durante a Segunda Guerra Mundial.,8.6
27,A Lista de Schindler,195,Drama,Um empresário salva judeus durante o Holocausto.,9.0
28,O Silêncio dos Inocentes,118,Suspense,Uma agente do FBI busca a ajuda de Hannibal Lecter.,8.6
29,Seven,127,Suspense,Detetives investigam assassinatos inspirados nos pecados capitais.,8.6
30,A Chegada,116,Ficção Científica,Uma linguista tenta se comunicar com alienígenas.,7.9
31,Toy Story,81,Animação,Brinquedos ganham vida quando ninguém está olhando.,8.3
32,Procurando Nemo,100,Animação,Um peixe atravessa o oceano para encontrar seu filho.,8.2
33,Wall-E,98,Animação,Um robô solitário muda o destino da humanidade.,8.4
34,Shrek,90,Animação,Um ogro embarca em uma missão inesperada.,7.9
35,Coco,105,Animação,Um garoto explora o mundo dos mortos através da música.,8.4
